Invoice No.,Date,Amount,Total,Email,Place of Origin,Taxable Value,SGST Amount,CGST Amount,IGST Amount,SGST Rate,CGST Rate,IGST Rate,Tax Amount,Tax Rate,Final Amount,Invoice Date,Place of Supply,GSTIN Supplier,Confidence,Trust
INV-145,28 Mar 2024,2181.0,2141.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH, 484001",1917.86,111.47,111.47,0.0,6.0,6.0,0.0,223.94,12.0,2181.0,28 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-142,07 Mar 2024,1032.0,1032.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",874.58,78.71,78.71,0.0,9.0,9.0,0.0,157.42,18.0,1032.0,07 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-128,23 Feb 2024,2450.0,2450.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",2076.27,186.86,186.86,0.0,9.0,9.0,0.0,373.73,18.0,2076.27,23 Feb 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-144,28 Mar 2024,24478.84,24478.84,ruhi@dermaq.in,23-MADHYA PRADESH,21947.14,731.95,731.95,0.0,6.0,6.0,0.0,1798.7,0.0,24478.84,28 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
,28 Mar 2024,7620.0,7620.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",7653.98,133.5,133.5,0.0,6.0,6.0,0.0,657.02,18.0,7620.0,28 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-121,29 Jan 2024,1010.0,1010.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH, 484001",870.93,,,34.72,,,12.0,104.68,18.0,1010.0,29 Jan 2024,27-MAHARASHTRA,23AADCU2395N1ZY,High Confidence,Low
INV-138,06 Mar 2024,1505.0,1505.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH, 484001",1275.34,114.78,114.78,0.0,9.0,9.0,0.0,114.78,18.0,1505.0,06 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-149,22 Mar 2024,437.36,437.36,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",370.64,33.36,33.36,0.0,9.0,9.0,0.0,66.72,18.0,437.36,22 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-133,01 Mar 2024,2702.0,2702.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",2302.15,14.61,14.61,0.0,6.0,6.0,0.0,214.49,8.0,2702.0,01 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-124,10 Feb 2024,1150.0,1150.0,ruhi@dermaq.in,23-MADHYA PRADESH,1125.52,61.28,61.28,9.38,6.0,6.0,9.0,132.92,11.85,1150.0,10 Feb 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-134,01 Mar 2024,854.05,854.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH, 484001",723.77,65.14,65.14,0.0,9.0,9.0,0.0,130.28,18.0,854.05,01 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-148,30 Mar 2024,1234.0,1234.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH, 484001",1076.4,36.39,36.39,42.28,6.0,6.0,9.0,115.06,10.5,1234.0,30 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-150,22 Mar 2024,466.0,466.0,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",394.51,35.51,35.51,0.0,9.0,9.0,0.0,71.02,18.0,466.0,22 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
INV-146,29 Mar 2024,3483.16,3483.16,ruhi@dermaq.in,"Shahdol, MADHYA PRADESH",3483.16,74.31,74.31,189.86,6.0,6.0,9.0,338.48,18.0,3483.16,29 Mar 2024,23-MADHYA PRADESH,23AADCU2395N1ZY,High Confidence,Low
